Sample	Bowtie 2_mqc-generalstats-bowtie_2-overall_alignment_rate	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-median_insert_size	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-50_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate	QualiMap_mqc-generalstats-qualimap-reads_aligned	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter
1-Amp	99.76	53.74643626689144	176	0.08258018541594829	0.0008026992900164715	0.0007048578342681951	0.0003554240637386366	0.00035342729933561057	0														
10-Amp	99.73	52.61169987222306	176	0.294127390094543	0.00997982848632419	0.006860882488797503	0.0050757751124922154	0.0022443631890012787	0														
2-Amp	99.88	53.781091858664134	176	0.05511469105232499	0.001441663898984807	0.0008066928188225236	0.00038337876538100134	0.0003554240637386366	0														
3-Amp	99.78	52.851314172372156	176	0.04763680836299244	0.0007328125359105599	0.000533136095607955	0.0003554240637386366	0.0003554240637386366	0														
5-Amp	99.73	52.65660571363839	176	0.044511872072256674	0.0013897480245061299	0.0008825698661375134	0.0003554240637386366	0.00035342729933561057	0														
6-Amp	99.83	52.610393341375094	176	0.3225453410784097	0.007899199978371048	0.006463526372595319	0.0022283890737770703	0.0007168384206863514	0														
7-Amp	99.88	52.79358724880929	176	0.21963809403965626	0.006595312823195038	0.004364926985014942	0.0006908804834470128	0.00035342729933561057	0														
8-Amp	99.86	52.79184327656158	176	0.3993848288356581	0.009366821814595194	0.006840914844767242	0.003216787453274964	0.0015015668310755885	0														
9-Amp	99.8	52.62585761519933	176	0.18122633721864417	0.007154406856042332	0.005634869145339509	0.0015934179936147868	0.0003554240637386366	0														
V350002156_L1_TRYlhwR021518-521										0.999911	99.7577285655315	47462772.0	47578040.0	0.5499999999999999	23729089.0	99.74786266941639	23729039						
V350002156_L1_TRYlhwR021518-521_1																		12.9944	0.933454	4441149637.0	0.532225	100.0	0.017461837435926324
V350002156_L1_TRYlhwR021519-522										0.99993	99.8833870261507	69588534.0	69669778.0	0.6	34791305.0	99.87487831524308	34791303						
V350002156_L1_TRYlhwR021519-522_1																		19.0315	0.929018	6472396689.0	0.532528	100.0	0.016908335777960998
V350002156_L1_TRYlhwR021520-523										0.999922	99.77554237948371	52170013.0	52287376.0	1.4000000000000001	26083680.0	99.77067504783564	26083734						
V350002156_L1_TRYlhwR021520-523_1																		16.639799999999997	0.924965	4836357627.0	0.522297	100.0	0.01866989844738049
V350002156_L1_TRYlhwR021522-525										0.999912	99.73024472832829	46845865.0	46972576.0	1.37	23421658.0	99.725116203974	23421728						
V350002156_L1_TRYlhwR021522-525_1																		12.202	0.926148	4350311712.0	0.51865	100.0	0.019343201445881957
V350002156_L1_TRYlhwR021523-526										0.999855	99.83206274980107	48414647.0	48496090.0	1.34	24205708.0	99.82403529851582	24205377						
V350002156_L1_TRYlhwR021523-526_1																		18.976100000000002	0.930037	4510203912.0	0.517942	100.0	0.05320016520919522
V350002156_L1_TRYlhwR021524-527										0.999893	99.882033403394	59026676.0	59096390.0	1.38	29511895.0	99.87703140581007	29511860						
V350002156_L1_TRYlhwR021524-527_1																		23.8438	0.922612	5452156754.0	0.521292	100.0	0.0601525744635163
V350002156_L1_TRYlhwR021525-528										0.999836	99.85975422797392	50364299.0	50435032.0	1.35	25180524.0	99.85192831839584	25180176						
V350002156_L1_TRYlhwR021525-528_1																		24.4736	0.92988	4689656344.0	0.521386	100.0	0.09329626280399704
V350002156_L1_TRYlhwR021526-529										0.999859	99.80354797448432	40467648.0	40547304.0	1.38	20232423.0	99.79689895042097	20232476						
V350002156_L1_TRYlhwR021526-529_1																		17.6598	0.925237	3751444692.0	0.518058	100.0	0.08322624853183827
V350002156_L1_TRYlhwR021527-530										0.999788	99.73415402952384	35786665.0	35882056.0	1.3599999999999999	17891759.0	99.7238062389736	17891476						
V350002156_L1_TRYlhwR021527-530_1																		15.0863	0.929517	3335173990.0	0.517998	100.0	0.07770457746345416
