Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
V350002156_L1_TRYlhwR021518-521_1	98.99077857581123	52.0	100.0	40.0	23789020.0
V350002156_L1_TRYlhwR021518-521_2	99.4592423077331	53.0	100.0	40.0	23789020.0
V350002156_L1_TRYlhwR021519-522_1	99.22502728504315	52.0	100.0	40.0	34834889.0
V350002156_L1_TRYlhwR021519-522_2	99.59039421097818	53.0	100.0	40.0	34834889.0
V350002156_L1_TRYlhwR021520-523_1	99.09315812161583	51.0	100.0	40.0	26143688.0
V350002156_L1_TRYlhwR021520-523_2	99.44326602674519	52.0	100.0	40.0	26143688.0
V350002156_L1_TRYlhwR021522-525_1	99.06455854778994	51.0	100.0	40.0	23486288.0
V350002156_L1_TRYlhwR021522-525_2	99.34642952023762	52.0	100.0	40.0	23486288.0
V350002156_L1_TRYlhwR021523-526_1	99.12500124737497	51.0	100.0	40.0	24248045.0
V350002156_L1_TRYlhwR021523-526_2	99.47995052170151	52.0	100.0	40.0	24248045.0
V350002156_L1_TRYlhwR021524-527_1	99.26499340604511	51.0	100.0	40.0	29548195.0
V350002156_L1_TRYlhwR021524-527_2	99.49053613835395	52.0	100.0	40.0	29548195.0
V350002156_L1_TRYlhwR021525-528_1	99.20477289847304	51.0	100.0	40.0	25217516.0
V350002156_L1_TRYlhwR021525-528_2	99.49557381612125	52.0	100.0	40.0	25217516.0
V350002156_L1_TRYlhwR021526-529_1	99.08179907892429	51.0	100.0	40.0	20273652.0
V350002156_L1_TRYlhwR021526-529_2	99.39565315852725	52.0	100.0	40.0	20273652.0
V350002156_L1_TRYlhwR021527-530_1	98.94770201714125	51.0	100.0	40.0	17941028.0
V350002156_L1_TRYlhwR021527-530_2	99.35498406814627	51.0	100.0	40.0	17941028.0
